DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL,Symbol,Abundace,Symbol Key CM,Symbol Key S,Abundance Key S,Abunance Key P
Amba Dongar,Fluorite,Carbonatite-Related F,21.9969,74.0628,India,,CaF2,null,,,,
Karadzhal,Fluorite,"Skarns, greisens, veins, and replacements related to strongly differentiated granites",49.9819,78.7299,Kazakhstan,,CaF2,null,,,,
Adag,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.5,109.333,Mongolia,,CaF2,null,,,,
Berkh,Fluorite,Alkaline-Volcanic-Related Epithermal F,47.7733,111.1693,Mongolia,,CaF2,null,,,,
Bor Ondor,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.2681,109.4417,Mongolia,,CaF2,null,,,,
Mushugai-Khudag,Fluorite,Carbonatite-Related F,44.3729,104.1629,Mongolia,,CaF2,null,,,,
Urgun (Örgön),Fluorite,Alkaline-Volcanic-Related Epithermal F,44.7058,110.7389,Mongolia,,CaF2,null,,,,
Zuum-Tsagaan-Del,Fluorite,Alkaline-Volcanic-Related Epithermal F,46.3671,110.0417,Mongolia,,CaF2,null,,,,
Kalat district,Fluorite,Mississippi Valley-type F,29.4379,67.1485,Pakistan,,CaF2,null,,,,
Auninsky,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,54.9,113.1167,Russia,,CaF2,null,,,,
Chaakhol,Fluorite,Carbonatite-Related F,51.9097,92.3972,Russia,,CaF2,null,,,,
Kalangui,Fluorite,"Related to volcanics of ""normal evolution""",51.0108,116.5294,Russia,,CaF2,null,,,,
Karasug,Fluorite,Carbonatite-Related F,51.3051,92.1325,Russia,,CaF2,null,,,,
Naransky,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,50.9167,105.6167,Russia,,CaF2,null,,,,
Pogranichny,Fluorite,Tin-granite-related,44.1667,132.1833,Russia,,CaF2,null,,,,
Suran I & Suran II,Fluorite,Subalkaline-volcanic-related epithermal veins and replacements,53.837,57.8089,Russia,,CaF2,null,,,,
"Yermakovka (Yermakovsky, Ermakovsky)",Fluorite,Peralkaline to Alkaline-Intrusion-Related F,51.6737,109.5605,Russia,,CaF2,null,,,,
Takob,Fluorite,Deposit type unclassified,38.8371,68.9387,Tajikistan,,CaF2,null,,,,
Ban Hong,Fluorite,Subalkaline-Volcanic-Related Epithermal F,18.2127,98.8189,Thailand,,CaF2,null,,,,
Doi Tao district,Fluorite,Deposit type unclassified,17.8792,98.775,Thailand,,CaF2,null,,,,
Yang Hak district,Fluorite,Deposit type unclassified,13.3667,99.4667,Thailand,,CaF2,null,,,,
Kizilcaören (a.k.a. Beylikahir),Fluorite,Carbonatite-Related F,39.617,31.365,Turkey,,CaF2,null,,,,
Suppatash,Fluorite,Deposit type unclassified,41.2058,70.5331,Uzbekistan,,CaF2,null,,,,
Nui Phao,Fluorite,Tin-granite-related,21.6479,105.667,Vietnam,,CaF2,null,,,,
Moina,Fluorite; Beryllium,Tin-granite-related; Non-pegmatite,-41.4862,146.0687,Australia,,"CaF2, Be",null,,,,
Speewah,Fluorite,Carbonatite-Related F,-16.4075,127.9839,Australia,,CaF2,null,,,,
Argentolle,Fluorite,Salt-Related Carbonate-Hosted F,46.974,4.078,France,,CaF2,null,,,,
Escaro,Fluorite,Salt-Related Carbonate-Hosted F,42.5414,2.3148,France,,CaF2,null,,,,
Montroc,Fluorite,Salt-Related Carbonate-Hosted F,43.8211,2.3782,France,,CaF2,null,,,,
Le Barlet,Fluorite,Salt-Related Carbonate-Hosted F,45.0492,3.4951,France,,CaF2,null,,,,
Le Burc,Fluorite,Salt-Related Carbonate-Hosted F,43.8731,2.406,France,,CaF2,null,,,,
Rossignol,Fluorite,Salt-Related Carbonate-Hosted F,46.4211,1.3081,France,,CaF2,null,,,,
Pakozd,Fluorite,Tin granite,47.218,18.505,Hungary,,CaF2,null,,,,
Bruncu Molentinu,Fluorite,Deposit type unclassified,39.436,9.475,Italy,,CaF2,null,,,,
Muscadroxiu-GennaTres Montis-S'Acqua Frida (Silius mine),Fluorite,Salt-Related Carbonate-Hosted F,39.517,9.256,Italy,,CaF2,null,,,,
Pianciano-Castel Giuliano,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.067,12.1441,Italy,,CaF2,null,,,,
Santo Maria di Sala,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.5755,11.7469,Italy,,CaF2,null,,,,
Asturias region,Fluorite,Salt-Related Carbonate-Hosted F,43.4277,-5.6219,Spain,,CaF2,null,,,,
Osor,Fluorite,Salt-Related Carbonate-Hosted F,41.9497,2.593,Spain,,CaF2,null,,,,
Sierra Gador district,Fluorite,Deposit type unclassified,36.9251,-2.5421,Spain,,CaF2,null,,,,
Northern Pennine Orefield,Fluorite,Mississippi Valley-type F,54.7946,-2.1734,United Kingdom,,CaF2,null,,,,
Southern Pennine Orefield,Fluorite,Mississippi Valley-type F,53.2743,-1.6929,United Kingdom,,CaF2,null,,,,
Fission (Richardson) mine,Fluorite,Carbonatite-Related F,45.06,-78.19,Canada,,CaF2,null,,,,
St. Lawrence district,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,46.9159,-55.4072,Canada,,CaF2,null,,,,
Aguachile,Fluorite; Beryllium,Alkaline-Volcanic-Related Epithermal F; Carbonate-hosted Be,29.2582,-102.5424,Mexico,,"CaF2, Be",null,,,,
El Refugio mine,Fluorite,"Related to volcanics of ""normal evolution""",21.5702,-100.1771,Mexico,,CaF2,null,,,,
Encantada-Buenavista,Fluorite,Salt-Related Carbonate-Hosted F,28.5424,-102.4964,Mexico,,CaF2,null,,,,
Las Cuevas,Fluorite,"Related to volcanics of ""normal evolution""",21.9441,-100.5816,Mexico,,CaF2,null,,,,
Parral district,Fluorite,Deposit type unclassified,26.85,-105.8622,Mexico,,CaF2,null,,,,
"La Azul deposit, Taxco district",Fluorite,Deposit type unclassified,18.589,-99.5446,Mexico,,CaF2,null,,,,
Brown's Canyon district,Fluorite,Deposit type unclassified,38.6316,-106.0664,United States of America,Colorado,CaF2,null,,,,
Crystal Mountain,Fluorite,"Skarns, greisens, veins, and replacements related to strongly differentiated granites",46.0062,-113.8881,United States of America,Montana,CaF2,null,,,,
Daisy mine,Fluorite,Alkaline-Volcanic-Related Epithermal F,36.8896,-116.6811,United States of America,Nevada,CaF2,null,,,,
Great Eagle,Fluorite,Alkaline-Volcanic-Related Epithermal F,32.7255,-108.6763,United States of America,New Mexico,CaF2,null,,,,
Hicks Dome,Fluorite; Beryllium,Carbonatite-Related F; Pegmatite,37.521,-88.354,United States of America,Illinois,"CaF2, Be",null,,,,
Huckleberry mine,Fluorite,Alkaline-Volcanic-Related Epithermal F,33.3171,-108.8214,United States of America,New Mexico,CaF2,null,,,,
Illinois-Kentucky fluorspar district,Fluorite; Gallium,Mississippi Valley-type,37.299,-88.235,United States of America,Kentucky,"CaF2, Ga",null,,,,
Indian Peak district,Fluorite,Alkaline-Volcanic-Related Epithermal F,38.2167,-113.8333,United States of America,At Cougar Spar Mine,CaF2,null,,,,
Jamestown district,Fluorite,Peralkaline to Alkaline-Intrusion-Related F,40.128,-105.3987,United States of America,"At Burlington Mine, Colorado",CaF2,null,,,,
Lost River,Fluorite; Beryllium; Tin,Skarn and Greisen-Hosted Be-F,65.4756,-167.155,United States of America,Alaska,"CaF2, Be, Sn",null,,,,
Meyers Cove,Fluorite,Subalkaline-volcanic-related epithermal veins and replacements,44.8541,-114.5036,United States of America,"At Big Lead Mine, Idaho",CaF2,null,,,,
Northgate district,Fluorite,"Alkaline-volcanic-related epithermal veins, breccia-fills, and carbonate replacements",40.9244,-106.2744,United States of America,"At Pender Mine, Colorado",CaF2,null,,,,
Rome occurrence,Fluorite,Tuffaceous Limy Lacustrine Sediment-hosted F,42.808,-117.7199,United States of America,Oregon,CaF2,null,,,,
Sweetwater district,Fluorite; Barite,Mississippi Valley-type F; Residual,35.6014,-84.4611,United States of America,Tennessee,"CaF2, BaSO4",null,,,,
White Eagle,Fluorite,Alkaline-Volcanic-Related Epithermal F,32.6123,-107.7541,United States of America,New Mexico,CaF2,null,,,,
Cerros Negros,Fluorite,"Volcanics of ""normal"" evolution",-32.5019,-64.7945,Argentina,,CaF2,null,,,,
Mato Preto,Fluorite,Carbonatite-Related F,-24.7471,-49.181,Brazil,,CaF2,null,,,,
Santa Catarina district,Fluorite,"Alkaline-intrusion-related veins, skarns, and carbonate replacements",-26.6222,-49.2595,Brazil,At Shaft 3 on the Segunda Linha Torrens vein,CaF2,null,,,,
Abbeytown,Gallium,Ga in Mississippi Valley-type,54.22,-8.53,Ireland,,Ga,0.0019,,,,
Açailândia,Gallium,Ga in Bauxite,-4.924555556,-47.50518056,Brazil,,Ga,0.0019,,,,
Adamaoua,Gallium,Ga in Bauxite,7.412991666,13.43713889,Cameroon,,Ga,0.0019,,,,
Admiral Bay,Gallium,Ga in Mississippi Valley-type,-19.22694444,122.28,Australia,,Ga,0.0019,,,,
Afterthought,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.733333,-122.083333,United States of America,California,Ga,0.0019,,,,
Alapaevsk,Gallium,Ga in Bauxite,57.84418333,61.69873889,Russia,,Ga,0.0019,,,,
Alcoa,Gallium,Ga in Bauxite,-32.037045,115.832882,Australia,,Ga,0.0019,,,,
Almeirim,Gallium,Ga in Bauxite,-0.898852778,-52.37746111,Brazil,,Ga,0.0019,,,,
Amapá,Gallium,Ga in Bauxite,1.439111111,-52.02201111,Brazil,,Ga,0.0019,,,,
Amarkantak,Gallium,Ga in Bauxite,22.70652778,81.73929444,India,,Ga,0.0019,,,,
Ammonoosuc,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.268611,-71.630833,United States of America,New Hampshire,Ga,0.0019,,,,
Anantagiri Hills,Gallium,Ga in Bauxite,18.344624,82.863149,India,,Ga,0.0019,,,,
Andoom,Gallium,Ga in Bauxite,-12.53387778,141.8369083,Australia,,Ga,0.0019,,,,
Angarsky,Gallium,Ga in Bauxite,52.46005556,103.9765028,Russia,,Ga,0.0019,,,,
Antler,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",63.819722,-148.96,United States of America,Alaska,Ga,0.0019,,,,
Apex Mine,Gallium; Germanium; Indium,Ga and Ge in Kipushi Cu-Zn,37.069444,-113.803611,United States of America,Utah,"Ga, Ge, In",null,,,,
Aqtas,Gallium,Ga in Bauxite,49.84176667,73.01838611,Kazakhstan,,Ga,0.0019,,,,
Arctic,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",67.173889,-156.386944,United States of America,Alaska,Ga,0.0019,,,,
Arditurri,Gallium,Ga in Clastic-dominated Pb-Zn,43.17,-1.49,Spain,,Ga,0.0019,,,,
Arqalyk,Gallium,Ga in Bauxite,50.20211944,66.91935,Kazakhstan,,Ga,0.0019,,,,
Ashland,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",33.272222,-85.955556,United States of America,Alabama,Ga,0.0019,,,,
Astana,Gallium,Ga in Bauxite,51.20858056,71.51327222,Kazakhstan,,Ga,0.0019,,,,
Auronzo,Gallium,Ga in Mississippi Valley-type,46.55097,12.44359,Italy,,Ga,0.0019,,,,
Austinville,Gallium,Ga in Mississippi Valley-type,36.84694444,-80.92027778,United States of America,Virginia,Ga,0.0019,,,,
Awaso,Gallium,Ga in Bauxite,6.247544445,-2.287402778,Ghana,,Ga,0.0019,,,,
Bafangshan,Gallium,Ga in Clastic-dominated Pb-Zn,33.95,106.833333,China,,Ga,0.0019,,,,
Bainiuchang,Gallium; Indium; Germanium,"Ga, Ge, and In in Clastic-dominated Sedimentary exhalative Pb-Zn",23.6,104.24,China,,"Ga, Ge, In",null,,,,
Bakhuis Mountains,Gallium,Ga in Bauxite,4.348119444,-56.75009722,Suriname,Guyana,Ga,0.0019,,,,
Balaklala,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.725278,-122.498056,United States of America,California,Ga,0.0019,,,,
Bald Mountain,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",39.50905,-120.83936,United States of America,California,Ga,0.0019,,,,
Ballinalack,Gallium,Ga in Mississippi Valley-type,53.635866,-7.462813,Ireland,,Ga,0.0019,,,,
Balmat-Edwards,Gallium,Ga in Clastic-dominated Pb-Zn,44.25194444,-75.39972222,United States of America,New York,Ga,0.0019,,,,
Bamboutos Mount,Gallium,Ga in Bauxite,5.680655555,10.21515833,Cameroon,,Ga,0.0019,,,,
Barrett,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.9656,-67.22193,United States of America,Maine,Ga,0.0019,,,,
Barzas,Gallium,Ga in Bauxite,55.54300833,86.095075,Russia,,Ga,0.0019,,,,
Beatson,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",60.058333,-147.903333,United States of America,Alaska,Ga,0.0019,,,,
Belgaum,Gallium,Ga in Bauxite,11.74665833,78.14452778,India,,Ga,0.0019,,,,
Belinsky,Gallium,Ga in Bauxite,53.01426667,43.20978333,Russia,,Ga,0.0019,,,,
Berdsk-Maisy,Gallium,Ga in Bauxite,54.662525,83.34286389,Russia,,Ga,0.0019,,,,
Betts Cove,Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",49.883333,-55.633333,Canada,,Ga,0.0019,,,,
Biela Lipa,Gallium,Ga in Bauxite,44.716859,21.246906,Serbia,,Ga,0.0019,,,,
Big Bend,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",39.691667,-121.431389,United States of America,California,Ga,0.0019,,,,
Big Hill,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.965278,-67.211111,United States of America,Maine,Ga,0.0019,,,,
Big Mike,Gallium,"Ga in Volcanogenic Massive Sulfide, Cypress type",40.542222,-117.556944,United States of America,Nevada,Ga,0.0019,,,,
Big Syncline,Gallium,Ga in Clastic-dominated Pb-Zn,-29.25722222,18.80194444,South Africa,,Ga,0.0019,,,,
Bilaspur,Gallium,Ga in Bauxite,22.09389722,82.20245278,India,,Ga,0.0019,,,,
Binghampton,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.455833,-112.193889,United States of America,Arizona,Ga,0.0019,,,,
Bintan Island,Gallium,Ga in Bauxite,0.781630555,104.5462667,Indonesia,,Ga,0.0019,,,,
Black Angel,Gallium,Ga in Clastic-dominated Pb-Zn,71.132778,-51.282778,Greenland,,Ga,0.0019,,,,
Black Mountain,Gallium,Ga in Clastic-dominated Pb-Zn,-29.2325,18.73027778,South Africa,,Ga,0.0019,,,,
Bleiberg,Gallium,Ga in Mississippi Valley-type,46.625,13.65166667,Austria,,Ga,0.0019,,,,
Bleikvassli,Gallium,Ga in Clastic-dominated Pb-Zn,65.923333,13.879722,Norway,,Ga,0.0019,,,,
Bleiriese,Gallium,Ga in Mississippi Valley-type,46.72903,13.58206,Austria,,Ga,0.0019,,,,
Blue Ledge,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",41.95,-123.116667,United States of America,California,Ga,0.0019,,,,
Blue Moon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",35.467778,-115.513333,United States of America,California,Ga,0.0019,,,,
Boddington,Gallium,Ga in Bauxite,-32.8,116.467,Australia,,Ga,0.0019,,,,
Boé,Gallium,Ga in Bauxite,11.74918889,-14.21701111,Guinea-Bissau,,Ga,0.0019,,,,
Bokson,Gallium,Ga in Bauxite,51.626475,38.97150278,Russia,,Ga,0.0019,,,,
Bonnifield,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",63.92,-147.38,United States of America,Alaska,Ga,0.0019,,,,
Britannia,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.61,-123.141667,Canada,,Ga,0.0019,,,,
Broken Hill,Gallium,Ga in Clastic-dominated Pb-Zn,-31.966667,141.466667,Australia,,Ga,0.0019,,,,
Broken Hill,Gallium,Ga in Clastic-dominated Pb-Zn,-29.257222,18.801944,South Africa,,Ga,0.0019,,,,
Bruce,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.545,-113.230278,United States of America,Arizona,Ga,0.0019,,,,
BT,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",67.109722,-155.86,United States of America,Alaska,Ga,0.0019,,,,
Buchans,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.825,-56.8583,Canada,,Ga,0.0019,,,,
Buick,Gallium,Ga in Mississippi Valley-type,37.58,-91.13,United States of America,Missouri,Ga,0.0019,,,,
Bully Hill-Rising Star,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.799167,-122.202778,United States of America,California,Ga,0.0019,,,,
Bushy Park,Gallium,Ga in Mississippi Valley-type,-28.47416667,23.59694444,South Africa,,Ga,0.0019,,,,
Callahan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.346111,-68.8075,United States of America,Maine,Ga,0.0019,,,,
Cannington,Gallium,Ga in Clastic-dominated Pb-Zn,-21.87,140.92,Australia,,Ga,0.0019,,,,
Cape Bougainville,Gallium,Ga in Bauxite,-14.03701667,126.1258694,Australia,,Ga,0.0019,,,,
Carajás,Gallium,Ga in Bauxite,-2.963127777,-51.85556389,Brazil,,Ga,0.0019,,,,
Caribou,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.56133,-66.29644,Canada,,Ga,0.0019,,,,
Carrickittle,Gallium,Ga in Mississippi Valley-type,52.51,-8.37,Ireland,,Ga,0.0019,,,,
Carriére Sophie,Gallium,Ga in Bauxite,4.923425,-52.32712778,French Guyana,,Ga,0.0019,,,,
Castine,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.3878547,-68.7997522,United States of America,Maine,Ga,0.0019,,,,
Castro Verde,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",37.7,-8.083333,Portugal,,Ga,0.0019,,,,
Cataguases,Gallium,Ga in Bauxite,-21.44748333,-42.87575556,Brazil,,Ga,0.0019,,,,
Çatmakaya,Gallium,Ga in Bauxite,37.28606944,31.88466667,Turkey,,Ga,0.0019,,,,
Central,Gallium,Ga in Bauxite,59.12580278,99.86051944,Russia,,Ga,0.0019,,,,
Central Kentucky-Tennessee,Gallium,Ga in Mississippi Valley-type,36.725697,-85.39321,United States of America,Kentucky,Ga,0.0019,,,,
Central Missouri,Gallium; Barite,"Ga in Mississippi Valley-type; Vein, cavity-fill, metasomatic",38.595833,-92.860278,United States of America,Missouri,"Ga, BaSO2",null,,,,
Century,Gallium,Ga in Clastic-dominated Pb-Zn,-18.75,138.63,Australia,,Ga,0.0019,,,,
Cevennes,Gallium,Ga in Mississippi Valley-type,43.92416667,3.622777778,France,,Ga,0.0019,,,,
Changba,Gallium,Ga in Clastic-dominated Pb-Zn,33.97944444,105.6911111,China,,Ga,0.0019,,,,
Cheremukhovo,Gallium,Ga in Bauxite,60.344,59.9853,Russia,,Ga,0.0019,,,,
Chestatee,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",34.2942,-83.9997,United States of America,Georgia,Ga,0.0019,,,,
Chester,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",47.11663,-66.23255,Canada,,Ga,0.0019,,,,
Cirque,Gallium,Ga in Clastic-dominated Pb-Zn,57.50972222,-125.16,Canada,,Ga,0.0019,,,,
Citronen Fjord,Gallium,Ga in Clastic-dominated Pb-Zn,83.08,-28.25,Greenland,,Ga,0.0019,,,,
Claremont-Moneague,Gallium,Ga in Bauxite,18.35549444,-77.12307778,Jamaica,,Ga,0.0019,,,,
Cockpit,Gallium,Ga in Bauxite,17.88581389,-77.15228056,Jamaica,,Ga,0.0019,,,,
Copper Hill,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",38.501944,-120.966667,United States of America,California,Ga,0.0019,,,,
Courtbrown,Gallium,Ga in Mississippi Valley-type,52.613941,-9.07139,Ireland,,Ga,0.0019,,,,
Coxco,Gallium,Ga in Mississippi Valley-type,-16.53861111,136.1497222,Australia,,Ga,0.0019,,,,
Crandon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",45.470833,-88.919444,United States of America,Wisconsin,Ga,0.0019,,,,
Crest,Gallium,Ga in Mississippi Valley-type,46.625,13.65166667,Austria,,Ga,0.0019,,,,
Croker Island,Gallium,Ga in Bauxite,-11.16700278,132.5573556,Australia,,Ga,0.0019,,,,
Dabaoshan,Gallium; Indium; Germanium,"Ga, Ge, and In in Clastic-dominated Sedimentary exhalative Pb-Zn",24.55416667,113.7222222,China,,"Ga, Ge, In",null,,,,
Dajia,Gallium,Ga in Bauxite,22.624774,109.184334,China,,Ga,0.0019,,,,
"Dalaba, Dabola",Gallium,Ga in Bauxite,11.68811111,-12.21960556,Guinea,,Ga,0.0019,,,,
Darling Range,Gallium,Ga in Bauxite,-32.573514,116.165139,Australia,,Ga,0.0019,,,,
Degtyarskoe,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.712632,60.087957,Russia,,Ga,0.0019,,,,
Del Park,Gallium,Ga in Bauxite,-32.54760278,115.9906889,Australia,,Ga,0.0019,,,,
Dengjiashan,Gallium,Ga in Clastic-dominated Pb-Zn,33.84583333,105.3602778,China,,Ga,0.0019,,,,
Detour,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",49.8,-78.94298,Canada,,Ga,0.0019,,,,
Diandian-Ouroubé,Gallium,Ga in Bauxite,10.734675,-13.04264444,Guinea,,Ga,0.0019,,,,
Dogankuzu,Gallium,Ga in Bauxite,37.27451667,31.88629444,Turkey,,Ga,0.0019,,,,
Drenchwater,Gallium,Ga in Clastic-dominated Pb-Zn,68.566667,-158.683333,United States of America,Alaska,Ga,0.0019,,,,
Ducktown,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",35.008889,-84.394722,United States of America,Tennessee,Ga,0.0019,,,,
Duddar,Gallium,Ga in Clastic-dominated Pb-Zn,26.2333,64.6617,Pakistan,,Ga,0.0019,,,,
Dugald River,Gallium,Ga in Clastic-dominated Pb-Zn,-20.25,140.15,Australia,,Ga,0.0019,,,,
Dy,Gallium,Ga in Clastic-dominated Pb-Zn,62.23,-133.14,Canada,,Ga,0.0019,,,,
Early Bird,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.73295,-122.5108,United States of America,California,Ga,0.0019,,,,
East Maui,Gallium,Ga in Bauxite,20.713379,-156.189599,United States of America,Hawaii,Ga,0.0019,,,,
East Sullivan,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",48.31809,-79.2014,Canada,,Ga,0.0019,,,,
Eastern Tennessee,Gallium,Ga in Mississippi Valley-type,36.07666667,-83.61305556,United States of America,Tennessee,Ga,0.0019,,,,
Eclipse,Gallium,Ga in Mississippi Valley-type,75.56944444,-96.19388889,Canada,,Ga,0.0019,,,,
Eight Dollar Mountain,Gallium,Ga in Bauxite,42.25875,-123.6612333,United States of America,Oregon,Ga,0.0019,,,,
Ekibastoz-Pavlodar,Gallium,Ga in Bauxite,51.68155,75.39338056,Kazakhstan,,Ga,0.0019,,,,
Elmwood-Gordonsville district,Gallium; Germanium,Ga and Ge in Mississippi Valley-type,36.19527778,-85.93333333,United States of America,Tennessee,"Ga, Ge",null,,,,
Elura,Gallium,Ga in Clastic-dominated Pb-Zn,-31.16138889,145.6566667,Australia,,Ga,0.0019,,,,
Emerson,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",44.40995,-68.77327,United States of America,Maine,Ga,0.0019,,,,
Essex Valley,Gallium,Ga in Bauxite,17.98358333,-77.62668333,Jamaica,,Ga,0.0019,,,,
Estação,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",37.85935,-8.15821,Portugal,,Ga,0.0019,,,,
Eufaula,Gallium,Ga in Mississippi Valley-type,31.75166667,-85.28916667,United States of America,Alabama,Ga,0.0019,,,,
Fankou,Gallium; Germanium,Ga in Mississippi Valley-type; Sedimentary-exhalative Pb-Zn,25.11,113.629167,China,,"Ga, Ge",null,,,,
Faro,Gallium,Ga in Clastic-dominated Pb-Zn,62.35666667,-133.3669444,Canada,,Ga,0.0019,,,,
Filizchai,Gallium,Ga in Clastic-dominated Pb-Zn,41.71722222,46.41416667,Azerbaijan,,Ga,0.0019,,,,
Filon Sur,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.22603,-3.6477,Spain,,Ga,0.0019,,,,
Flambeau,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",45.514,-91.14,United States of America,Wisconsin,Ga,0.0019,,,,
Flin Flon,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",54.75,-102,Canada,,Ga,0.0019,,,,
Fongo-Tongo,Gallium,Ga in Bauxite,5.6041,10.08032778,Cameroon,,Ga,0.0019,,,,
Fox,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",56.63537,-101.65235,Canada,,Ga,0.0019,,,,
"Fria, Fria Kimbo",Gallium,Ga in Bauxite,10.40381944,-13.573325,Guinea,,Ga,0.0019,,,,
Friedensville,Gallium,Ga in Mississippi Valley-type,40.55444444,-75.405,United States of America,Pennsylvania,Ga,0.0019,,,,
Furutobe-Ainai,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.39847,140.71527,Japan,,Ga,0.0019,,,,
Galang Island,Gallium,Ga in Bauxite,0.746861111,104.2292139,Indonesia,,Ga,0.0019,,,,
Galikonda,Gallium,Ga in Bauxite,18.29387778,82.98006944,India,,Ga,0.0019,,,,
Gamsberg,Gallium,Ga in Clastic-dominated Pb-Zn,-29.25194444,18.98111111,South Africa,,Ga,0.0019,,,,
Gánt,Gallium,Ga in Bauxite,47.37255,18.39182778,Hungary,,Ga,0.0019,,,,
Garrycam,Gallium,Ga in Mississippi Valley-type,53.65,-7.72,Ireland,,Ga,0.0019,,,,
Gayna River,Gallium,Ga in Mississippi Valley-type,64.93333333,-130.6833333,Canada,,Ga,0.0019,,,,
Gays River,Gallium,Ga in Mississippi Valley-type,45.02861111,-63.33888889,Canada,,Ga,0.0019,,,,
Giant,Gallium,Ga in Mississippi Valley-type,49.166667,-121.033333,Canada,,Ga,0.0019,,,,
Golden Grove,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",-28.77946,116.96603,Australia,,Ga,0.0019,,,,
Gopher Ridge,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",37.954444,-120.744167,United States of America,California,Ga,0.0019,,,,
Gorno,Gallium,Ga in Mississippi Valley-type,45.86361111,9.8425,Italy,,Ga,0.0019,,,,
Gove,Gallium,Ga in Bauxite,-12.26324167,136.8403556,Australia,,Ga,0.0019,,,,
Grand-Calumet,Gallium,Ga in Clastic-dominated Pb-Zn,45.70055556,-76.67777778,Canada,,Ga,0.0019,,,,
Gray Eagle,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",41.863333,-123.371111,United States of America,California,Ga,0.0019,,,,
Greens Creek,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",58.0794193,-134.6304758,United States of America,Alaska,Ga,0.0019,,,,
Grum,Gallium,Ga in Clastic-dominated Pb-Zn,62.26926,-133.224426,Canada,,Ga,0.0019,,,,
H.B.,Gallium,Ga in Clastic-dominated Pb-Zn,49.152222,-117.198611,Canada,,Ga,0.0019,,,,
"Hall, Veneer",Gallium,Ga in Bauxite,34.24344444,-83.79700278,United States of America,Georgia,Ga,0.0019,,,,
Hanaoka,Gallium,"Ga in Volcanogenic Massive Sulfide, Kuroko type",40.29847,140.56528,Japan,,Ga,0.0019,,,,
